FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Michael Porter Jr.,Den,F,19,23.7,20.6,12.2,35,0.743,75,0.587,89,0.382,0.579,11.4,6.7,0.8,0.68,0.32,1.32,110.6
Kristaps Porzingis,Dal,F-C,3,31.5,24.2,5.6,23,0.87,23,0.522,17,0.529,0.638,23.7,8.7,0.7,0,1,1,137.8
Norman Powell,Tor,G,11,24.8,20.6,8.6,29,0.793,52,0.558,52,0.423,0.596,13.4,2.4,1,0.55,0.27,1,116.7
Josh Reaves,Dal,G-F,2,4.6,23.1,20.5,2,1,2,0.5,1,0,0.333,2,1,0.5,0,0.5,0.5,95.8
Josh Richardson,Phi,G,4,36.1,21.7,11.1,18,0.944,28,0.357,28,0.357,0.446,16.8,3.8,3.3,0.5,0.5,2,107.3
Austin Rivers,Hou,G,12,17.6,15.9,10.7,13,0.769,26,0.385,35,0.257,0.385,4.8,2.5,1.3,0.58,0.08,0.67,90.9
Andre Roberson,Okc,G-F,1,3.4,12.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Duncan Robinson,Mia,F,21,28.6,15.8,7.7,38,0.868,20,0.65,156,0.397,0.602,11.7,2.8,1.8,0.67,0.29,0.76,121.7
Rajon Rondo,Lal,G,16,24.7,18,20.8,19,0.684,71,0.493,50,0.4,0.537,8.9,4.3,6.6,1.44,0.13,2.13,114.2
Terrence Ross,Orl,G-F,5,27,24.7,10.2,14,0.857,34,0.588,30,0.333,0.547,16.4,4.4,1,0.8,0.2,1.6,105.8
JaKarr Sampson,Ind,F,4,12.5,16.6,11.1,0,0,16,0.625,0,0,0.625,5,3.3,1,0.5,0,0.5,115.6
Dennis Schroder,Okc,G,7,32.4,26,12.4,25,0.8,64,0.484,45,0.289,0.463,17.3,3.7,3.6,0.57,0.14,2.43,97.8
Mike Scott,Phi,F,4,5,14.8,0,4,1,3,0.333,2,0,0.2,1.5,2,0.3,0,0,0,119.8
Landry Shamet,Lac,G,13,18.7,13.5,17.3,7,0.714,17,0.529,42,0.357,0.534,5.2,1.7,1.3,0.46,0.23,1,99.1
